LAMMPS (10 Sep 2025)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (13.349999 13.349999 13.349999)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  108 atoms
  read_data CPU = 0.001 seconds
CUDA found, setting device type to torch::kCUDA.
Loading MACE model from "ar_finetune_epoch1.model-lammps.pt" ... finished.
  - The torch_float_dtype is: Float
  - The r_max is: 6.
  - The model has: 2 layers.
  - The MACE model atomic numbers are: 18.
  - The pair_coeff atomic numbers are: 18.
  - Mapping LAMMPS type 1 (Ar) to MACE type 1.
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7, bins = 2 2 2
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mace, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 3.136 | 3.136 | 3.136 Mbytes
   Step          Time           CPU           PotEng         KinEng         TotEng          Temp          Press          Volume        Density    
      1110   0.555          92.538814      192.73223      4.2806249      197.01286      309.49865      157242.16      2379.2701      3.0110926    
      1120   0.56           93.331437      192.81463      4.2172723      197.0319       304.91812      157424.9       2379.2701      3.0110926    
      1130   0.565          94.121999      192.87393      4.1764364      197.05037      301.96559      157578.53      2379.2701      3.0110926    
      1140   0.57           94.91129       192.89724      4.1713729      197.06861      301.59948      157677.37      2379.2701      3.0110926    
      1150   0.575          95.700545      192.87394      4.2128831      197.08682      304.60077      157702.3       2379.2701      3.0110926    
      1160   0.58           96.492194      192.79873      4.3062889      197.10502      311.35421      157644.74      2379.2701      3.0110926    
      1170   0.585          97.284463      192.67478      4.4481231      197.1229       321.60914      157509.3       2379.2701      3.0110926    
      1180   0.59           98.077598      192.51528      4.6245555      197.13984      334.36559      157314.27      2379.2701      3.0110926    
      1190   0.595          98.869495      192.34202      4.812788       197.15481      347.97522      157089.84      2379.2701      3.0110926    
      1200   0.6            99.661998      192.18124      4.98524        197.16648      360.44388      156870.99      2379.2701      3.0110926    
      1210   0.605          100.45488      192.05812      5.1153666      197.17349      369.85232      156692.3       2379.2701      3.0110926    
      1220   0.61           101.25087      191.99112      5.1835901      197.17471      374.78503      156580.09      2379.2701      3.0110926    
      1230   0.615          102.04334      191.98765      5.1818598      197.16951      374.65993      156547.11      2379.2701      3.0110926    
      1240   0.62           102.8349       192.04232      5.1156059      197.15793      369.86962      156590.52      2379.2701      3.0110926    
      1250   0.625          103.62594      192.13831      5.0022945      197.14061      361.67696      156692.6       2379.2701      3.0110926    
      1260   0.63           104.41908      192.25189      4.8666578      197.11855      351.87012      156825.85      2379.2701      3.0110926    
      1270   0.635          105.21131      192.35885      4.7339859      197.09283      342.27765      156958.64      2379.2701      3.0110926    
      1280   0.64           106.00693      192.44045      4.6239174      197.06437      334.31946      157062.38      2379.2701      3.0110926    
      1290   0.645          106.80245      192.48678      4.5470004      197.03378      328.75818      157116.93      2379.2701      3.0110926    
      1300   0.65           107.59692      192.49657      4.5048018      197.00137      325.70714      157113.5       2379.2701      3.0110926    
      1310   0.655          108.39215      192.47478      4.4924696      196.96725      324.81549      157054.04      2379.2701      3.0110926    
      1320   0.66           109.18711      192.42967      4.5016945      196.93136      325.48247      156948.65      2379.2701      3.0110926    
      1330   0.665          109.98141      192.37106      4.5224963      196.89356      326.98648      156813.98      2379.2701      3.0110926    
      1340   0.67           110.77509      192.31011      4.5436393      196.85375      328.51517      156670.65      2379.2701      3.0110926    
      1350   0.675          111.56887      192.25925      4.5527027      196.81195      329.17047      156542.69      2379.2701      3.0110926    
      1360   0.68           112.36614      192.23135      4.5370081      196.76836      328.03572      156453.34      2379.2701      3.0110926    
      1370   0.685          113.17357      192.23764      4.4858166      196.72346      324.33446      156422.52      2379.2701      3.0110926    
      1380   0.69           113.98354      192.28486      4.3931976      196.67805      317.63791      156461.32      2379.2701      3.0110926    
      1390   0.695          114.79617      192.37281      4.2603687      196.63318      308.03408      156569.34      2379.2701      3.0110926    
      1400   0.7            115.60827      192.49367      4.0963461      196.59001      296.17488      156733.82      2379.2701      3.0110926    
      1410   0.705          116.41909      192.63304      3.9165284      196.54957      283.17367      156932.17      2379.2701      3.0110926    
      1420   0.71           117.22834      192.77278      3.7398854      196.51267      270.40199      157135.46      2379.2701      3.0110926    
      1430   0.715          118.03625      192.89379      3.5859467      196.47974      259.27188      157313.23      2379.2701      3.0110926    
      1440   0.72           118.84532      192.97847      3.4724285      196.4509       251.06426      157437.26      2379.2701      3.0110926    
      1450   0.725          119.65419      193.01247      3.4134696      196.42594      246.8014       157484.97      2379.2701      3.0110926    
